條款,內容
一,為管理維護桃園市政府藝文設施管理中心(以下簡稱本中心)所屬場地設施，辦理文化藝術推廣工作，發揮文化藝術功能，特訂定本要點。
二,本中心場地係指桃園展演中心及中壢藝術館。
三,"本國合法立案之演藝團隊、人民團體、經紀公司、文化事業機構、文教基金會及機關學校或個人 (以下簡稱申請人)，申請使用本中心場地設施，應檢附下列文件：
（一）場地使用申請表。
（二）個人檢附身分證影本；其餘檢附立案或登記證書影本。
（三）活動企劃書；其活動內容應符合場地使用目的。"
四,"申請使用本中心場地，應符合下列情事之一：
（一）文化藝術活動。
（二）流行音樂或影劇相關文創產業活動。
（三）其他經本中心同意辦理之文教活動。"
五,本中心場地使用時間及規費，桃園展演中心及中壢藝術館均依「桃園縣政府藝文設施管理中心展演場地使用收費標準」表列內容辦理，非本中心同意，不得逾核定使用時間。
六,"申請使用本中心場地，除桃園市政府、桃園市政府文化局、本中心主辦及依「桃園市政府藝文設施管理中心演藝活動補助作業要點」審核補助之活動外，應依下列規定辦理：
（一）申請人應先與本中心確認檔期及場地相關事宜，並於登記使用日八週前檢送第三點規定之文件，經本中心同意後，並應於登記使用日四週前一次繳清所有費用及保證金，逾期未繳交者，視同放棄。
（二）登記使用日二週前，申請單位應與本中心執行舞監進行技術協調事宜。
（三）場地使用完畢，應歸還租借物品並回復原狀，經本中心檢查無待解決事項後，由申請人辦理保證金退還。"
七,"申請場地使用獲准後，期前放棄或無法如期使用，得退還費用之情形如下：
（一）申請人自行放棄使用，且於原登記使用日二週前書面通知本中心者，退還全數場地費用及保證金；未於前開期限通知者，退還二分之一場地費用，保證金不予退還。
（二）申請延期演出者，應於登記使用日二週前向本中心確認檔期並辦理延期申請事宜。
（三）因風災、火災、地震、空襲或其他不可抗力之事由致無法如期使用者。
（四）本中心因特殊需要收回或調整檔期時，得於登記使用日四週前通知申請人停止使用場地，並無息退還場地使用費及保證金。"
八,申請人如毀損場館建築設施或借用設備，應負賠償責任，並得自保證金扣抵，不足時並得追償。經本中心認定確已完成相關賠償或修繕且無待解決事項，始退還保證金。
九,"申請人如有列情事之一，本中心得拒絕其申請或停止其使用本中心各場地使用權利一至二年，所繳費用概不退還，並沒收保證金：
（一）違背法令者。
（二）有悖善良風俗、道德倫理或有害社會公益者。
（三）使用目的與登記內容不符或將場地轉讓他人使用者。
（四）婚喪喜慶宴會。
（五）各種選舉之政見發表或政治性活動者。
（六）佈道或法會儀式等宗教性活動。
（七）與申請使用藝文內容無關之商業行為。
（八）經本中心認定可能損及館舍建築與設備，或容易造成場地秩序紊亂及人員安全堪慮者。
（九）其他經本中心認定不宜使用及違反本要點規定者。"
十,"使用場地時，應注意下列事項：
（一）非經本中心同意，不得在本中心場地及四周擅自張貼宣傳標籤。
（二）禁止使用泡綿式雙面膠帶或其他無法清除之黏劑施作於場地之建築及所有設備。
（三）場地使用期間之佈置、接待、紀錄、錄音、錄影等工作事項及所需工作人員，由使用人自行負責。
（四）佈置品、設備及隨身物品由使用人自行看管，本中心不負保管之責。
（五）使用本中心場地、設備、公物應注意安全及清潔維護，如有損毀，應負賠償責任。
（六）場地租借期間之安全維護、傷患急救、公共秩序應由申請人負責，如有事故發生應及時協調本中心妥為處理。
（七）展演廳作為劇場使用時，為維護場地秩序及安全，未經本中心同意，不得在觀眾席內增設座位，入場人數不得超過座位表容量數。
（八）展演廳演出如有印製入場券須採劃位制，並載明相關入出場應遵循事項，如有溢發票券或進場人數過多情事，本中心基於安全考量可現場控制進場人數，因此與觀眾衍生之票券糾紛，由申請人負責處理。"
十一,"市境內國小、國中及高中，依據「高級中學以下學校藝術才能班級設立標準」經主管機關核准設立或適用本標準之音樂、舞蹈之班級，得申請本中心所屬場地辦理畢業班成果發表，並遵行下列事項：
（一）演出內容須為畢業班成果演出，班級年度成果展演不得提出申請。
（二）各校每年以一班一場為限。
（三）須俟本中心公告開放檔期後使得登記檔期。
（四）需函送本中心演出計畫書及相關申請資料以完備行政程序。
（五）經核准同意提供檔期者，得優惠免收場地使用費，其餘費用仍依本中心收費標準辦理。"
十二,本要點如有未盡事宜，依本中心其他相關規定辦理。
